Brand_Name,Total_Spend_Sum,Total_Spend_Mean,Purchase_Count,Quantity_Sum,Quantity_Mean,Price_Mean,Price_Max,Top_Category,Category_Diversity,Spending_Concentration,"Arts, Crafts & Sewing",Automotive,Baby Products,Beauty & Personal Care,Cell Phones & Accessories,"Clothing, Shoes & Jewelry",Electronics,Grocery & Gourmet Food,Health & Household,Hobbies,Home & Kitchen,Industrial & Scientific,Movies & TV,Musical Instruments,Office Products,"Patio, Lawn & Garden",Pet Supplies,Remote & App Controlled Vehicle Parts,Remote & App Controlled Vehicles & Parts,Sports & Outdoors,Tools & Home Improvement,Toys & Games,Unknown,Video Games,Cluster,PCA1,PCA2
"""Llama",4.38,4.38,1,1.0,1.0,4.38,4.38,Toys & Games,1,0.9999999999771689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0,-1.0813049702111688,-0.4768600645946002
"""Los",26.82,13.41,2,2.0,1.0,13.41,14.0,Toys & Games,1,0.9999999999962715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.82,0.0,0.0,0,-0.895566976226198,-0.35810444271364744
"""Montreal",6.59,6.59,1,1.0,1.0,6.59,6.59,Home & Kitchen,1,0.9999999999848255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0630283227625767,-0.42355368822903383
"""NFL",15.34,7.67,2,2.0,1.0,7.67,8.34,Home & Kitchen,2,0.5436766623171859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.34,0.0,0.0,0,0.10588710713606102,-1.3423398114790845
"""NHL",8.57,8.57,1,1.0,1.0,8.57,8.57,Sports & Outdoors,1,0.9999999999883313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57,0.0,0.0,0.0,0.0,0,-1.0480614662573418,-0.3954792792364281
"""New",9.43,4.72,2,2.0,1.0,4.72,5.23,Home & Kitchen,2,0.5546129374278409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.23,0.0,0.0,0,0.056686594682623465,-1.385489053354929
"""Numeric",4.83,4.83,1,1.0,1.0,4.83,4.83,Home & Kitchen,1,0.9999999999792961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0783916719057642,-0.4575640182713553
"""Oakland",7.05,7.05,1,1.0,1.0,7.05,7.05,Toys & Games,1,0.9999999999858156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.05,0.0,0.0,0,-1.0573794415321016,-0.4317266279528724
"""PAW",1.98,1.98,1,1.0,1.0,1.98,1.98,Toys & Games,1,0.999999999949495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.0,0.0,0,-1.1028110633778676,-0.5174294458722706
"""Pittsburgh",12.34,12.34,1,1.0,1.0,12.34,12.34,Home & Kitchen,1,0.9999999999918963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0128355627622816,-0.3124403940714148
"""Seattle",25.38,25.38,1,1.0,1.0,25.38,25.38,Toys & Games,1,0.9999999999960599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.38,0.0,0.0,0,-0.8931266546888081,-0.12187797871426806
"""Spalding",7.58,7.58,1,1.0,1.0,7.58,7.58,Toys & Games,1,0.9999999999868074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.58,0.0,0.0,0,-1.0526301792839279,-0.42276755626091633
"""Tampa",7.02,7.02,1,1.0,1.0,7.02,7.02,Toys & Games,1,0.999999999985755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02,0.0,0.0,0,-1.0576482676970862,-0.43223374521846086
"""Thomas",0.01,0.01,1,1.0,1.0,0.01,0.01,Toys & Games,1,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0,-1.1204639675686061,-0.5507301596448835
"""Toy",6.31,6.31,1,1.0,1.0,6.31,6.31,Toys & Games,1,0.9999999999841521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.31,0.0,0.0,0,-1.0640104869348206,-0.44423552050427867
"""UglyDolls",14.04,7.02,2,2.0,1.0,7.02,8.09,Toys & Games,1,0.9999999999928775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04,0.0,0.0,0,-0.968041411477926,-0.46541420216383106
"""Winnipeg",6.17,6.17,1,1.0,1.0,6.17,6.17,Toys & Games,1,0.9999999999837925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17,0.0,0.0,0,-1.0652650090379747,-0.44660206774379424
#3,4.82,4.82,1,1.0,1.0,4.82,4.82,Home & Kitchen,1,0.9999999999792532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0784789636622434,-0.4577572587829749
#40,4.75,4.75,1,1.0,1.0,4.75,4.75,Home & Kitchen,1,0.9999999999789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0790900059575905,-0.4591099423643186
'Deluxe,26.79,26.79,1,1.0,1.0,26.79,26.79,Toys & Games,1,0.9999999999962673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.79,0.0,0.0,0,-0.8804918249308158,-0.09804346723515373
-,13.0,13.0,1,1.0,1.0,13.0,13.0,Unknown,1,0.9999999999923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0,-0.9489290029248812,-0.35936951807467715
100,4.03,4.03,1,1.0,1.0,4.03,4.03,Unknown,1,0.9999999999751861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.03,0.0,0,-1.0673499682121763,-0.491524988509564
11,26.64,26.64,1,1.0,1.0,26.64,26.64,Toys & Games,1,0.9999999999962463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.64,0.0,0.0,0,-0.8818359557561357,-0.10057905356271762
"11""",19.97,19.97,1,1.0,1.0,19.97,19.97,Toys & Games,1,0.9999999999949926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.97,0.0,0.0,0,-0.9416049731215747,-0.21332812559548922
"11.5""",9.94,9.94,1,1.0,1.0,9.94,9.94,Toys & Games,1,0.9999999999899396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.94,0.0,0.0,0,-1.0314825209694998,-0.38287433137015486
12,188.85,37.77,5,5.0,1.0,37.77,99.99,Toys & Games,3,0.5294678316121104,0.0,0.0,0.0,0.0,0.0,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.99,0.0,84.42,0.0,0.0,0,1.515299512108393,-0.8947198902082186
"12""",5.02,5.02,1,1.0,1.0,5.02,5.02,Toys & Games,1,0.9999999999800797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.02,0.0,0.0,0,-1.0755700120271021,-0.46604156292654564
12-Count,3.44,3.44,1,1.0,1.0,3.44,3.44,Grocery & Gourmet Food,1,0.9999999999709303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0785604923235985,-0.5289126810729405
15,24.95,24.95,1,1.0,1.0,24.95,24.95,Toys & Games,1,0.9999999999959921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.95,0.0,0.0,0,-0.896979829721381,-0.12914665951996154
16,46.14,46.14,1,1.0,1.0,46.14,46.14,Toys & Games,1,0.9999999999978326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.14,0.0,0.0,0,-0.70709894846295,0.2290471690190594
16-Count,3.59,3.59,1,1.0,1.0,3.59,3.59,Home & Kitchen,1,0.9999999999721448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0892158497066164,-0.4815258417146277
16346,40.27,40.27,1,1.0,1.0,40.27,40.27,Toys & Games,1,0.9999999999975168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.27,0.0,0.0,0,-0.7596992680945104,0.12982122406773605
"18""",18.98,9.49,2,2.0,1.0,9.49,9.99,Toys & Games,1,0.9999999999947314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.98,0.0,0.0,0,-0.9410306197988543,-0.4254366903060392
1:10,64.55,64.55,1,1.0,1.0,64.55,64.55,Toys & Games,1,0.9999999999984508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.55,0.0,0.0,0,-0.5421292918326094,0.5402481309527787
1:50,36.58,36.58,1,1.0,1.0,36.58,36.58,Toys & Games,1,0.9999999999972662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.58,0.0,0.0,0,-0.7927648863977523,0.06744580041002006
"2""",18.99,9.5,2,2.0,1.0,9.5,12.0,Toys & Games,2,0.6319115323821384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.99,12.0,0.0,0,0.06026898124104199,-1.228631850411808
2.4Ghz,73.59,73.59,1,1.0,1.0,73.59,73.59,Toys & Games,1,0.9999999999986411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.59,0.0,0.0,0,-0.46112300742515616,0.6930594669591897
"20""",4.28,4.28,1,1.0,1.0,4.28,4.28,Toys & Games,1,0.9999999999766355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28,0.0,0.0,0,-1.0822010574273184,-0.47855045548033925
2018,5.99,5.99,1,1.0,1.0,5.99,5.99,Toys & Games,1,0.9999999999833055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.99,0.0,0.0,0,-1.0668779660277095,-0.44964477133749
21st,14.04,14.04,1,1.0,1.0,14.04,14.04,Toys & Games,1,0.9999999999928775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04,0.0,0.0,0,-0.9947429450807465,-0.3135683050802387
24,4.99,4.99,1,1.0,1.0,4.99,4.99,Home & Kitchen,1,0.9999999999799599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0769950038020646,-0.45447217008547364
240,93.68,93.68,1,1.0,1.0,93.68,93.68,Toys & Games,1,0.9999999999989325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.68,0.0,0.0,0,-0.2810990855504433,1.0326589957608716
25,24.99,24.99,1,1.0,1.0,24.99,24.99,Toys & Games,1,0.9999999999959984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.99,0.0,0.0,0,-0.8966213948346301,-0.12847050316594355
"25""",29.99,29.99,1,1.0,1.0,29.99,29.99,Toys & Games,1,0.9999999999966657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.99,0.0,0.0,0,-0.8518170339905896,-0.04395095891385657
"26""",3.99,3.99,1,1.0,1.0,3.99,3.99,Toys & Games,1,0.9999999999749374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,0.0,0.0,0,-1.0847997103539408,-0.4834525890491847
2nd,4.78,4.78,1,1.0,1.0,4.78,4.78,"Clothing, Shoes & Jewelry",1,0.9999999999790795,0.0,0.0,0.0,0.0,0.0,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0733385984214339,-0.4780969366818843
3,79.79,39.9,2,2.0,1.0,39.9,59.99,Sports & Outdoors,2,0.7518486025808349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.99,0.0,19.8,0.0,0.0,0,0.20737910570384935,-0.37975896097547995
"3""",45.35,22.68,2,2.0,1.0,22.68,34.36,Toys & Games,1,0.9999999999977949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.35,0.0,0.0,0,-0.7596870729735445,-0.156380034267208
3-D,5.86,5.86,1,1.0,1.0,5.86,5.86,Toys & Games,1,0.9999999999829352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.86,0.0,0.0,0,-1.0680428794091585,-0.45184227948851746
3-in-1,79.99,79.99,1,1.0,1.0,79.99,79.99,Toys & Games,1,0.9999999999987498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.99,0.0,0.0,0,-0.4037734255437369,0.8012444836008616
30ft,4.64,4.64,1,1.0,1.0,4.64,4.64,Toys & Games,1,0.9999999999784482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,0,-1.0789751434490276,-0.4724650482918234
30th,18.68,9.34,2,2.0,1.0,9.34,12.01,Home & Kitchen,2,0.6429336188402414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.01,0.0,0.0,0,-0.009034713625071453,-1.1737315705942917
"34""",3.98,3.98,1,1.0,1.0,3.98,3.98,Toys & Games,1,0.9999999999748743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0,0.0,0,-1.0848893190755422,-0.4836216281377717
348716,21.44,21.44,1,1.0,1.0,21.44,21.44,Toys & Games,1,0.999999999995336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.44,0.0,0.0,0,-0.9284324910336337,-0.18847937958517827
35789,31.37,31.37,1,1.0,1.0,31.37,31.37,Unknown,1,0.9999999999968123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.37,0.0,0,-0.7064102590327028,-0.08872336517373969
36,73.11,73.11,1,1.0,1.0,73.11,73.11,Toys & Games,1,0.9999999999986322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.11,0.0,0.0,0,-0.46542422606626166,0.6849455907110634
"36""",9.99,9.99,1,1.0,1.0,9.99,9.99,Home & Kitchen,1,0.99999999998999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0333491255463931,-0.35785191429103624
38010401,143.48,143.48,1,1.0,1.0,143.48,143.48,Hobbies,1,0.9999999999993031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.244783042298752,2.009205088790043
3B,3814.09,238.38,16,16.0,1.0,238.38,872.0,Toys & Games,3,0.7432965661533749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.65,839.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2835.0,0.0,0.0,2,15.388460537352076,7.735178488701805
3D,35.68,35.68,1,1.0,1.0,35.68,35.68,Toys & Games,1,0.9999999999971972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.68,0.0,0.0,0,-0.8008296713497514,0.052232282444713056
3DLightFX,57.14,28.57,2,2.0,1.0,28.57,33.19,Tools & Home Improvement,1,0.9999999999982498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.14,0.0,0.0,0.0,0,-0.6350755878073024,0.21631703802306282
3Doodler,102.66,34.22,3,3.0,1.0,34.22,49.85,Toys & Games,1,0.9999999999990259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.66,0.0,0.0,0,-0.45929265123930346,0.02385377075946955
3dRose,28.72,28.72,1,1.0,1.0,28.72,28.72,Toys & Games,1,0.9999999999965181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.72,0.0,0.0,0,-0.8631973416450067,-0.06541892315385725
4,19.95,19.95,1,1.0,1.0,19.95,19.95,Toys & Games,1,0.9999999999949876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.95,0.0,0.0,0,-0.9417841905649473,-0.21366620377250065
4.5ft,2.99,2.99,1,1.0,1.0,2.99,2.99,Home & Kitchen,1,0.9999999999665552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0944533550911333,-0.4931202724158397
40,77.97,38.99,2,2.0,1.0,38.99,71.93,Toys & Games,2,0.9225343080660221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.93,6.04,0.0,0,0.0462891206087406,-0.2032762943132727
42,96.66,96.66,1,1.0,1.0,96.66,96.66,Toys & Games,1,0.9999999999989654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.66,0.0,0.0,0,-0.25439568648688254,1.0830326441346263
